miner,logP_Name,logM_Name,imf_noise_thr,hm_depen_thr,im_bi_sup,im_bi_ratio,use_gnn,acc_logs,fitP,fitM,f1_fit_logs,precision,net,im,fm,cut_type
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test9,,0,0,1.0,0.0,False,,0.85,,,1.0,"places: [ p_10, p_11, p_12, p_13, p_14, p_4, p_5, p_6, p_9, sink, source ]
transitions: [ (35fe4752-9518-49e5-8396-5338be0684d5, 'jzKpbEme'), (496efa02-2c06-412b-bd9b-43cf106f0a9c, 'dFcrrXzV'), (52dafefd-42c8-4908-82e1-2b912ade0c04, 'NiwHrxbW'), (9f081b00-c6a7-4db5-aafa-4794826e7732, 'DvtNlsDq'), (acf3591f-0aa5-4be6-ab25-a680354413c1, 'VmgVbchg'), (bb103500-b786-4109-9057-8631217ba6b9, 'krStKrET'), (ddf811a7-eea0-4c9e-81cf-112cf6dd28e9, 'xXPRlBci'), (tauSplit_1, None) ]
arcs: [ (35fe4752-9518-49e5-8396-5338be0684d5, 'jzKpbEme')->p_10, (496efa02-2c06-412b-bd9b-43cf106f0a9c, 'dFcrrXzV')->p_14, (52dafefd-42c8-4908-82e1-2b912ade0c04, 'NiwHrxbW')->p_12, (9f081b00-c6a7-4db5-aafa-4794826e7732, 'DvtNlsDq')->p_5, (acf3591f-0aa5-4be6-ab25-a680354413c1, 'VmgVbchg')->p_13, (bb103500-b786-4109-9057-8631217ba6b9, 'krStKrET')->p_11, (bb103500-b786-4109-9057-8631217ba6b9, 'krStKrET')->p_9, (ddf811a7-eea0-4c9e-81cf-112cf6dd28e9, 'xXPRlBci')->sink, (tauSplit_1, None)->p_4, (tauSplit_1, None)->p_6, p_10->(496efa02-2c06-412b-bd9b-43cf106f0a9c, 'dFcrrXzV'), p_11->(acf3591f-0aa5-4be6-ab25-a680354413c1, 'VmgVbchg'), p_12->(496efa02-2c06-412b-bd9b-43cf106f0a9c, 'dFcrrXzV'), p_13->(52dafefd-42c8-4908-82e1-2b912ade0c04, 'NiwHrxbW'), p_14->(ddf811a7-eea0-4c9e-81cf-112cf6dd28e9, 'xXPRlBci'), p_4->(9f081b00-c6a7-4db5-aafa-4794826e7732, 'DvtNlsDq'), p_5->(496efa02-2c06-412b-bd9b-43cf106f0a9c, 'dFcrrXzV'), p_6->(bb103500-b786-4109-9057-8631217ba6b9, 'krStKrET'), p_9->(35fe4752-9518-49e5-8396-5338be0684d5, 'jzKpbEme'), source->(tauSplit_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test9,,0,0,1.0,0.0,True,,0.95,,,1.0,"places: [ p_10, p_11, p_12, p_13, p_14, p_15, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (6b1ef792-3e1e-43f3-99d4-7c63abcbb94b, 'NiwHrxbW'), (9dafbba8-7240-473a-ac56-11c6187e7612, 'xXPRlBci'), (a41f6273-2c38-48c2-9325-b2310d879fa2, 'VmgVbchg'), (ab10255f-ebaf-4573-8769-5e45110a39c7, 'krStKrET'), (ac53dd5c-5c71-47e8-8088-f42e0d9ff24f, 'dFcrrXzV'), (e159bf46-bc42-46a0-b3b3-295fca1b789e, 'DvtNlsDq'), (f6e1aebc-ec50-44ba-b104-77ff7a5d0715, 'jzKpbEme'), (tauJoin_4, None), (tauJoin_6, None), (tau_1, None) ]
arcs: [ (6b1ef792-3e1e-43f3-99d4-7c63abcbb94b, 'NiwHrxbW')->p_14, (9dafbba8-7240-473a-ac56-11c6187e7612, 'xXPRlBci')->p_8, (a41f6273-2c38-48c2-9325-b2310d879fa2, 'VmgVbchg')->p_15, (ab10255f-ebaf-4573-8769-5e45110a39c7, 'krStKrET')->p_11, (ab10255f-ebaf-4573-8769-5e45110a39c7, 'krStKrET')->p_13, (ac53dd5c-5c71-47e8-8088-f42e0d9ff24f, 'dFcrrXzV')->p_8, (e159bf46-bc42-46a0-b3b3-295fca1b789e, 'DvtNlsDq')->p_6, (f6e1aebc-ec50-44ba-b104-77ff7a5d0715, 'jzKpbEme')->p_12, (tauJoin_4, None)->sink, (tauJoin_6, None)->p_10, (tau_1, None)->p_5, (tau_1, None)->p_7, p_10->(9dafbba8-7240-473a-ac56-11c6187e7612, 'xXPRlBci'), p_10->(ac53dd5c-5c71-47e8-8088-f42e0d9ff24f, 'dFcrrXzV'), p_11->(f6e1aebc-ec50-44ba-b104-77ff7a5d0715, 'jzKpbEme'), p_12->(tauJoin_6, None), p_13->(a41f6273-2c38-48c2-9325-b2310d879fa2, 'VmgVbchg'), p_14->(tauJoin_6, None), p_15->(6b1ef792-3e1e-43f3-99d4-7c63abcbb94b, 'NiwHrxbW'), p_5->(e159bf46-bc42-46a0-b3b3-295fca1b789e, 'DvtNlsDq'), p_6->(tauJoin_4, None), p_7->(ab10255f-ebaf-4573-8769-5e45110a39c7, 'krStKrET'), p_8->(tauJoin_4, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test8,,0,0,1.0,0.0,False,,0.76,,,0.79,"places: [ p_10, p_11, p_12, p_13, p_14, p_15, p_17, p_18, p_19, p_20, p_5, p_6, sink, source ]
transitions: [ (13805422-4a42-4149-b1eb-1ea916dcf84b, 'FMUHY'), (154c6b20-5c68-4f24-9f64-85766b4611f5, 'tDOdE'), (39047dd1-942e-477b-9a32-651bbb969c44, 'INDZm'), (90366ba5-2457-4ec5-acfe-0405a9c48489, 'tEuRl'), (b9483709-8a2f-4d2a-b7d1-3cfe44b9c92b, 'sgHaA'), (d4c20860-f091-4ec5-856a-95a48c6d967d, 'VfjOQ'), (eee2ef7e-1b87-4980-9b65-35664adc6d49, 'Ftegn'), (tauJoin_4, None), (tau_1, None) ]
arcs: [ (13805422-4a42-4149-b1eb-1ea916dcf84b, 'FMUHY')->p_11, (154c6b20-5c68-4f24-9f64-85766b4611f5, 'tDOdE')->p_17, (154c6b20-5c68-4f24-9f64-85766b4611f5, 'tDOdE')->p_19, (39047dd1-942e-477b-9a32-651bbb969c44, 'INDZm')->p_18, (90366ba5-2457-4ec5-acfe-0405a9c48489, 'tEuRl')->p_6, (b9483709-8a2f-4d2a-b7d1-3cfe44b9c92b, 'sgHaA')->p_15, (d4c20860-f091-4ec5-856a-95a48c6d967d, 'VfjOQ')->p_20, (eee2ef7e-1b87-4980-9b65-35664adc6d49, 'Ftegn')->p_13, (tauJoin_4, None)->sink, (tau_1, None)->p_10, (tau_1, None)->p_12, (tau_1, None)->p_14, (tau_1, None)->p_5, p_10->(13805422-4a42-4149-b1eb-1ea916dcf84b, 'FMUHY'), p_11->(154c6b20-5c68-4f24-9f64-85766b4611f5, 'tDOdE'), p_12->(eee2ef7e-1b87-4980-9b65-35664adc6d49, 'Ftegn'), p_13->(154c6b20-5c68-4f24-9f64-85766b4611f5, 'tDOdE'), p_14->(b9483709-8a2f-4d2a-b7d1-3cfe44b9c92b, 'sgHaA'), p_15->(154c6b20-5c68-4f24-9f64-85766b4611f5, 'tDOdE'), p_17->(39047dd1-942e-477b-9a32-651bbb969c44, 'INDZm'), p_18->(tauJoin_4, None), p_19->(d4c20860-f091-4ec5-856a-95a48c6d967d, 'VfjOQ'), p_20->(tauJoin_4, None), p_5->(90366ba5-2457-4ec5-acfe-0405a9c48489, 'tEuRl'), p_6->(tauJoin_4, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test8,,0,0,1.0,0.0,True,,0.78,,,0.77,"places: [ p_12, p_13, p_14, p_15, p_17, p_18, p_19, p_20, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (106dd0ac-db6c-4a34-9e91-4a14bc1dcf58, 'FMUHY'), (2b7b793f-e2cb-412a-87f2-2d7e70321287, 'INDZm'), (40c9e998-7c52-4f43-a32d-7c129b88eb64, 'tEuRl'), (417d0790-09fb-4b62-8e82-c78212aee524, 'VfjOQ'), (7323bd5a-3e56-4985-b2b7-ddd77e741e8e, 'sgHaA'), (747c480f-78c1-4d5c-8cc6-7fb1a0d35fdc, 'tDOdE'), (94e048ae-0751-456d-8575-a665a7f750bb, 'Ftegn'), (tauJoin_4, None), (tau_1, None) ]
arcs: [ (106dd0ac-db6c-4a34-9e91-4a14bc1dcf58, 'FMUHY')->p_13, (2b7b793f-e2cb-412a-87f2-2d7e70321287, 'INDZm')->p_18, (40c9e998-7c52-4f43-a32d-7c129b88eb64, 'tEuRl')->p_8, (417d0790-09fb-4b62-8e82-c78212aee524, 'VfjOQ')->p_20, (7323bd5a-3e56-4985-b2b7-ddd77e741e8e, 'sgHaA')->p_6, (747c480f-78c1-4d5c-8cc6-7fb1a0d35fdc, 'tDOdE')->p_17, (747c480f-78c1-4d5c-8cc6-7fb1a0d35fdc, 'tDOdE')->p_19, (94e048ae-0751-456d-8575-a665a7f750bb, 'Ftegn')->p_15, (tauJoin_4, None)->sink, (tau_1, None)->p_12, (tau_1, None)->p_14, (tau_1, None)->p_5, (tau_1, None)->p_7, p_12->(106dd0ac-db6c-4a34-9e91-4a14bc1dcf58, 'FMUHY'), p_13->(747c480f-78c1-4d5c-8cc6-7fb1a0d35fdc, 'tDOdE'), p_14->(94e048ae-0751-456d-8575-a665a7f750bb, 'Ftegn'), p_15->(747c480f-78c1-4d5c-8cc6-7fb1a0d35fdc, 'tDOdE'), p_17->(2b7b793f-e2cb-412a-87f2-2d7e70321287, 'INDZm'), p_18->(tauJoin_4, None), p_19->(417d0790-09fb-4b62-8e82-c78212aee524, 'VfjOQ'), p_20->(tauJoin_4, None), p_5->(7323bd5a-3e56-4985-b2b7-ddd77e741e8e, 'sgHaA'), p_6->(tauJoin_4, None), p_7->(40c9e998-7c52-4f43-a32d-7c129b88eb64, 'tEuRl'), p_8->(tauJoin_4, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test7,,0,0,1.0,0.0,False,,0.64,,,0.87,"places: [ p_11, p_12, p_13, p_14, p_15, p_16, p_18, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (21240e31-9b82-4254-91c5-d1ca044d9416, 'tyEFkRY'), (327c2716-84bc-41f4-af90-d9b2dff8e5cc, 'bCqPtqj'), (39f9dcea-276c-4dec-8a5f-2f19b315c803, 'shNGEUL'), (53ff70d7-b0ef-4872-8f0d-ce2315e47f5c, 'PMYmziu'), (64e94290-c765-4f43-9b08-9abb9480a789, 'MnEZfQY'), (aef396c8-81bd-46c4-bb77-a9f469036aee, 'ZklccLj'), (b2b624ac-d6be-4f55-a076-45a6564b9265, 'CpNGdLU'), (tauJoin_4, None), (tauJoin_8, None), (tauSplit_7, None), (tau_1, None) ]
arcs: [ (21240e31-9b82-4254-91c5-d1ca044d9416, 'tyEFkRY')->p_16, (327c2716-84bc-41f4-af90-d9b2dff8e5cc, 'bCqPtqj')->p_11, (39f9dcea-276c-4dec-8a5f-2f19b315c803, 'shNGEUL')->p_8, (53ff70d7-b0ef-4872-8f0d-ce2315e47f5c, 'PMYmziu')->p_6, (64e94290-c765-4f43-9b08-9abb9480a789, 'MnEZfQY')->p_14, (aef396c8-81bd-46c4-bb77-a9f469036aee, 'ZklccLj')->p_14, (b2b624ac-d6be-4f55-a076-45a6564b9265, 'CpNGdLU')->p_18, (tauJoin_4, None)->sink, (tauJoin_8, None)->p_12, (tauSplit_7, None)->p_13, (tauSplit_7, None)->p_15, (tau_1, None)->p_11, (tau_1, None)->p_5, (tau_1, None)->p_7, p_11->(tauSplit_7, None), p_12->(b2b624ac-d6be-4f55-a076-45a6564b9265, 'CpNGdLU'), p_12->(tauJoin_4, None), p_13->(64e94290-c765-4f43-9b08-9abb9480a789, 'MnEZfQY'), p_13->(aef396c8-81bd-46c4-bb77-a9f469036aee, 'ZklccLj'), p_14->(tauJoin_8, None), p_15->(21240e31-9b82-4254-91c5-d1ca044d9416, 'tyEFkRY'), p_16->(tauJoin_8, None), p_18->(327c2716-84bc-41f4-af90-d9b2dff8e5cc, 'bCqPtqj'), p_5->(53ff70d7-b0ef-4872-8f0d-ce2315e47f5c, 'PMYmziu'), p_6->(tauJoin_4, None), p_7->(39f9dcea-276c-4dec-8a5f-2f19b315c803, 'shNGEUL'), p_8->(tauJoin_4, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test7,,0,0,1.0,0.0,True,,0.75,,,0.87,"places: [ p_11, p_12, p_14, p_15, p_16, p_17, p_18, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (3c6446d4-a388-4941-b224-5c57e9599f9e, 'bCqPtqj'), (5680b6ae-b80b-4c1d-8f2f-2146598d63cc, 'PMYmziu'), (6340c65d-c0da-4436-a2b1-9fddd8808ff8, 'CpNGdLU'), (69cb24f9-86fb-4353-86d4-639b20cafc66, 'ZklccLj'), (ca43cba8-2c42-473d-a679-8fdbd3a00661, 'MnEZfQY'), (d601601d-1836-4983-aedb-5603a0afb9d4, 'tyEFkRY'), (fe8ffd9a-d7a3-4596-97ce-0df8e5ea798c, 'shNGEUL'), (tauJoin_4, None), (tauJoin_8, None), (tauSplit_7, None), (tau_1, None) ]
arcs: [ (3c6446d4-a388-4941-b224-5c57e9599f9e, 'bCqPtqj')->p_11, (5680b6ae-b80b-4c1d-8f2f-2146598d63cc, 'PMYmziu')->p_6, (6340c65d-c0da-4436-a2b1-9fddd8808ff8, 'CpNGdLU')->p_14, (69cb24f9-86fb-4353-86d4-639b20cafc66, 'ZklccLj')->p_12, (ca43cba8-2c42-473d-a679-8fdbd3a00661, 'MnEZfQY')->p_16, (d601601d-1836-4983-aedb-5603a0afb9d4, 'tyEFkRY')->p_18, (fe8ffd9a-d7a3-4596-97ce-0df8e5ea798c, 'shNGEUL')->p_8, (tauJoin_4, None)->sink, (tauJoin_8, None)->p_14, (tauSplit_7, None)->p_15, (tauSplit_7, None)->p_17, (tau_1, None)->p_11, (tau_1, None)->p_5, (tau_1, None)->p_7, p_11->(69cb24f9-86fb-4353-86d4-639b20cafc66, 'ZklccLj'), p_12->(6340c65d-c0da-4436-a2b1-9fddd8808ff8, 'CpNGdLU'), p_12->(tauJoin_4, None), p_12->(tauSplit_7, None), p_14->(3c6446d4-a388-4941-b224-5c57e9599f9e, 'bCqPtqj'), p_15->(ca43cba8-2c42-473d-a679-8fdbd3a00661, 'MnEZfQY'), p_16->(tauJoin_8, None), p_17->(d601601d-1836-4983-aedb-5603a0afb9d4, 'tyEFkRY'), p_18->(tauJoin_8, None), p_5->(5680b6ae-b80b-4c1d-8f2f-2146598d63cc, 'PMYmziu'), p_6->(tauJoin_4, None), p_7->(fe8ffd9a-d7a3-4596-97ce-0df8e5ea798c, 'shNGEUL'), p_8->(tauJoin_4, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test6,,0,0,1.0,0.0,False,,0.94,,,0.92,"places: [ p_11, p_12, p_4, p_5, p_7, p_8, sink, source ]
transitions: [ (0d3275ad-1d3e-4bfa-a4bd-62cf16b71f21, 'RNjkIdM'), (1f81ead9-b286-4735-b5eb-2e6acfd61533, 'hPTDMFA'), (25c5e997-95d2-4183-8282-8ff556e292bd, 'JhXfScm'), (2c16fe7a-1832-49af-8109-d53403a747bc, 'HbzCNur'), (59648ba6-0dcb-4070-b83f-8856d06f0988, 'RAhpbcn'), (7df26f5f-5c3d-4200-9c5e-d9451d8425d8, 'broFzxW'), (fa0618e0-336f-4f5f-afc8-23b55c582963, 'rvXpBvR'), (tauJoin_3, None) ]
arcs: [ (0d3275ad-1d3e-4bfa-a4bd-62cf16b71f21, 'RNjkIdM')->p_12, (1f81ead9-b286-4735-b5eb-2e6acfd61533, 'hPTDMFA')->p_11, (1f81ead9-b286-4735-b5eb-2e6acfd61533, 'hPTDMFA')->p_7, (25c5e997-95d2-4183-8282-8ff556e292bd, 'JhXfScm')->p_4, (2c16fe7a-1832-49af-8109-d53403a747bc, 'HbzCNur')->p_11, (59648ba6-0dcb-4070-b83f-8856d06f0988, 'RAhpbcn')->p_8, (7df26f5f-5c3d-4200-9c5e-d9451d8425d8, 'broFzxW')->p_4, (fa0618e0-336f-4f5f-afc8-23b55c582963, 'rvXpBvR')->p_5, (tauJoin_3, None)->sink, p_11->(0d3275ad-1d3e-4bfa-a4bd-62cf16b71f21, 'RNjkIdM'), p_12->(2c16fe7a-1832-49af-8109-d53403a747bc, 'HbzCNur'), p_12->(tauJoin_3, None), p_4->(fa0618e0-336f-4f5f-afc8-23b55c582963, 'rvXpBvR'), p_5->(1f81ead9-b286-4735-b5eb-2e6acfd61533, 'hPTDMFA'), p_7->(59648ba6-0dcb-4070-b83f-8856d06f0988, 'RAhpbcn'), p_8->(tauJoin_3, None), source->(25c5e997-95d2-4183-8282-8ff556e292bd, 'JhXfScm'), source->(7df26f5f-5c3d-4200-9c5e-d9451d8425d8, 'broFzxW') ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test6,,0,0,1.0,0.0,True,,0.55,,,0.0,"places: [ p_10, p_11, p_12, p_13, p_3, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (25f0087b-9134-412f-80fe-c3998f3e1dbb, 'HbzCNur'), (3c410c03-3343-4036-a5b7-f24c60dce797, 'RAhpbcn'), (6f7ce92f-6a12-41fe-bdb9-09d6f8bf1089, 'hPTDMFA'), (92e0092b-1757-45b5-a508-3cbdcf4363ab, 'RNjkIdM'), (ecd591f4-aa87-434b-a905-65bfb74674ff, 'rvXpBvR'), (skip_3, None), (tauJoin_5, None), (tauSplit_4, None), (tau_1, None), (tau_2, None) ]
arcs: [ (25f0087b-9134-412f-80fe-c3998f3e1dbb, 'HbzCNur')->p_11, (3c410c03-3343-4036-a5b7-f24c60dce797, 'RAhpbcn')->p_13, (6f7ce92f-6a12-41fe-bdb9-09d6f8bf1089, 'hPTDMFA')->p_6, (92e0092b-1757-45b5-a508-3cbdcf4363ab, 'RNjkIdM')->p_8, (ecd591f4-aa87-434b-a905-65bfb74674ff, 'rvXpBvR')->p_9, (skip_3, None)->p_4, (tauJoin_5, None)->p_4, (tauSplit_4, None)->p_10, (tauSplit_4, None)->p_12, (tauSplit_4, None)->p_5, (tauSplit_4, None)->p_7, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(25f0087b-9134-412f-80fe-c3998f3e1dbb, 'HbzCNur'), p_11->(tauJoin_5, None), p_12->(3c410c03-3343-4036-a5b7-f24c60dce797, 'RAhpbcn'), p_13->(tauJoin_5, None), p_3->(skip_3, None), p_3->(tauSplit_4, None), p_4->(tau_2, None), p_5->(6f7ce92f-6a12-41fe-bdb9-09d6f8bf1089, 'hPTDMFA'), p_6->(tauJoin_5, None), p_7->(ecd591f4-aa87-434b-a905-65bfb74674ff, 'rvXpBvR'), p_8->(tauJoin_5, None), p_9->(92e0092b-1757-45b5-a508-3cbdcf4363ab, 'RNjkIdM'), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test5,,0,0,1.0,0.0,False,,0.76,,,0.9,"places: [ p_3, p_4, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (16ef185e-1b31-4bff-a99e-f9993f668d8b, 'TeDUjx'), (2aaa7b89-0750-451e-9c00-3da8557ee52b, 'zRCXnC'), (c507dc53-aa34-46f7-99ea-576f04e5fbec, 'cKHqCJ'), (da4b9947-6999-4fcc-b04c-b064cc5142db, 'xgfUdP'), (eaedeed2-2941-465f-8218-8b39bed1dade, 'SrXTef'), (fa8fbae5-55e7-48e2-9d9e-a97146300168, 'IOhueW'), (ff6ba168-b05d-4624-ab21-9ff202910e4f, 'GQLjlr') ]
arcs: [ (16ef185e-1b31-4bff-a99e-f9993f668d8b, 'TeDUjx')->sink, (2aaa7b89-0750-451e-9c00-3da8557ee52b, 'zRCXnC')->p_7, (c507dc53-aa34-46f7-99ea-576f04e5fbec, 'cKHqCJ')->p_5, (da4b9947-6999-4fcc-b04c-b064cc5142db, 'xgfUdP')->p_6, (eaedeed2-2941-465f-8218-8b39bed1dade, 'SrXTef')->p_3, (fa8fbae5-55e7-48e2-9d9e-a97146300168, 'IOhueW')->p_4, (ff6ba168-b05d-4624-ab21-9ff202910e4f, 'GQLjlr')->p_8, p_3->(fa8fbae5-55e7-48e2-9d9e-a97146300168, 'IOhueW'), p_4->(c507dc53-aa34-46f7-99ea-576f04e5fbec, 'cKHqCJ'), p_5->(da4b9947-6999-4fcc-b04c-b064cc5142db, 'xgfUdP'), p_6->(2aaa7b89-0750-451e-9c00-3da8557ee52b, 'zRCXnC'), p_7->(ff6ba168-b05d-4624-ab21-9ff202910e4f, 'GQLjlr'), p_8->(16ef185e-1b31-4bff-a99e-f9993f668d8b, 'TeDUjx'), source->(eaedeed2-2941-465f-8218-8b39bed1dade, 'SrXTef') ]",['source:1'],['sink:1'],par
IMbi_ali,C:\Users\Marko\Desktop\GIt\IMBI_Master\GNN_partitioning\GNN_Data\par\Data_7\Sup_1.0\treeP_7_Sup_1.0_test5,,0,0,1.0,0.0,True,,0.83,,,0.64,"places: [ p_10, p_11, p_13, p_14, p_15, p_16, p_5, p_6, p_7, p_9, sink, source ]
transitions: [ (07ac23c1-27cf-480f-aaf2-793a0bfdd826, 'GQLjlr'), (16e6ca97-d9d9-4d8e-a3fb-fe4e87284d9d, 'cKHqCJ'), (2bbcc794-f311-4c14-a447-bc507b7da22a, 'xgfUdP'), (4332d9eb-644c-441b-900f-cde1cfd01974, 'TeDUjx'), (43bf10f0-41c3-49ab-92ed-ef44334f4e36, 'zRCXnC'), (627f2c94-4cef-4f69-a156-7cec69b5021f, 'IOhueW'), (ef2a1b78-158e-4ff6-b180-87be9815a967, 'SrXTef'), (tauJoin_4, None), (tau_1, None) ]
arcs: [ (07ac23c1-27cf-480f-aaf2-793a0bfdd826, 'GQLjlr')->p_13, (07ac23c1-27cf-480f-aaf2-793a0bfdd826, 'GQLjlr')->p_15, (16e6ca97-d9d9-4d8e-a3fb-fe4e87284d9d, 'cKHqCJ')->p_10, (2bbcc794-f311-4c14-a447-bc507b7da22a, 'xgfUdP')->p_11, (4332d9eb-644c-441b-900f-cde1cfd01974, 'TeDUjx')->p_14, (43bf10f0-41c3-49ab-92ed-ef44334f4e36, 'zRCXnC')->p_16, (627f2c94-4cef-4f69-a156-7cec69b5021f, 'IOhueW')->p_6, (ef2a1b78-158e-4ff6-b180-87be9815a967, 'SrXTef')->p_9, (tauJoin_4, None)->sink, (tau_1, None)->p_5, (tau_1, None)->p_7, p_10->(2bbcc794-f311-4c14-a447-bc507b7da22a, 'xgfUdP'), p_11->(07ac23c1-27cf-480f-aaf2-793a0bfdd826, 'GQLjlr'), p_13->(4332d9eb-644c-441b-900f-cde1cfd01974, 'TeDUjx'), p_14->(tauJoin_4, None), p_15->(43bf10f0-41c3-49ab-92ed-ef44334f4e36, 'zRCXnC'), p_16->(tauJoin_4, None), p_5->(627f2c94-4cef-4f69-a156-7cec69b5021f, 'IOhueW'), p_6->(tauJoin_4, None), p_7->(ef2a1b78-158e-4ff6-b180-87be9815a967, 'SrXTef'), p_9->(16e6ca97-d9d9-4d8e-a3fb-fe4e87284d9d, 'cKHqCJ'), source->(tau_1, None) ]",['source:1'],['sink:1'],par
