miner,logP_Name,logM_Name,imf_noise_thr,hm_depen_thr,im_bi_sup,im_bi_ratio,use_gnn,acc_logs,fitP,fitM,f1_fit_logs,precision,net,im,fm,cut_type
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/par/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run2_56,,0,0,1.0,0.0,False,,1.0,,,1.0,"places: [ p_10, p_11, p_3, p_4, p_5, p_6, p_8, p_9, sink, source ]
transitions: [ (11d5971a-00b5-4a61-a138-c031d7fef815, 'OQpzgLUz'), (56c9db3b-3fa0-4425-b957-f9b53e63902e, 'UaTGgCps'), (665a338d-106e-41fa-b2a8-cf57de553723, 'gsOUGsLt'), (92bd2aee-4400-432e-8ddb-92b77ff5a3ab, 'lxExHbIP'), (df8837b0-33e8-4de1-9e7a-b9e51315d191, 'FMuxYDLJ'), (e9193ede-dd74-424e-98e6-35dbeff88854, 'uBylqlmu'), (fea9c5e9-9443-41b3-b524-b138fe468926, 'TDsLpQMP'), (init_loop_3, None), (skip_5, None), (tauJoin_7, None), (tauSplit_6, None), (tau_1, None), (tau_2, None) ]
arcs: [ (11d5971a-00b5-4a61-a138-c031d7fef815, 'OQpzgLUz')->p_9, (56c9db3b-3fa0-4425-b957-f9b53e63902e, 'UaTGgCps')->p_9, (665a338d-106e-41fa-b2a8-cf57de553723, 'gsOUGsLt')->p_11, (92bd2aee-4400-432e-8ddb-92b77ff5a3ab, 'lxExHbIP')->p_9, (df8837b0-33e8-4de1-9e7a-b9e51315d191, 'FMuxYDLJ')->p_11, (e9193ede-dd74-424e-98e6-35dbeff88854, 'uBylqlmu')->p_6, (fea9c5e9-9443-41b3-b524-b138fe468926, 'TDsLpQMP')->p_5, (init_loop_3, None)->p_5, (skip_5, None)->p_4, (tauJoin_7, None)->p_4, (tauSplit_6, None)->p_10, (tauSplit_6, None)->p_8, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(665a338d-106e-41fa-b2a8-cf57de553723, 'gsOUGsLt'), p_10->(df8837b0-33e8-4de1-9e7a-b9e51315d191, 'FMuxYDLJ'), p_11->(tauJoin_7, None), p_3->(init_loop_3, None), p_3->(tauSplit_6, None), p_4->(tau_2, None), p_5->(e9193ede-dd74-424e-98e6-35dbeff88854, 'uBylqlmu'), p_6->(fea9c5e9-9443-41b3-b524-b138fe468926, 'TDsLpQMP'), p_6->(skip_5, None), p_8->(11d5971a-00b5-4a61-a138-c031d7fef815, 'OQpzgLUz'), p_8->(56c9db3b-3fa0-4425-b957-f9b53e63902e, 'UaTGgCps'), p_8->(92bd2aee-4400-432e-8ddb-92b77ff5a3ab, 'lxExHbIP'), p_9->(tauJoin_7, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/par/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run2_56,,0,0,1.0,0.0,True,,0.82,,,0.88,"places: [ p_10, p_11, p_12, p_3, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (0d265d02-2a42-472b-bb58-e85745dd84de, 'UaTGgCps'), (2a26c90f-1d59-47f3-9050-6cdf8bbe8658, 'OQpzgLUz'), (2b758e57-54a1-431f-84b5-090cd18527cc, 'TDsLpQMP'), (3e00561e-8139-4da3-938f-7e8a8bdd4794, 'lxExHbIP'), (6e8d592f-c560-4ab2-a58b-21741d9d33af, 'FMuxYDLJ'), (7c5065e0-ad11-426b-97fc-2fc58687004a, 'gsOUGsLt'), (c98aed67-1d85-4425-a786-558e81b3a0f6, 'uBylqlmu'), (tauJoin_4, None), (tauJoin_6, None), (tauSplit_3, None), (tauSplit_5, None), (tau_1, None), (tau_2, None) ]
arcs: [ (0d265d02-2a42-472b-bb58-e85745dd84de, 'UaTGgCps')->p_10, (2a26c90f-1d59-47f3-9050-6cdf8bbe8658, 'OQpzgLUz')->p_10, (2b758e57-54a1-431f-84b5-090cd18527cc, 'TDsLpQMP')->p_6, (3e00561e-8139-4da3-938f-7e8a8bdd4794, 'lxExHbIP')->p_10, (6e8d592f-c560-4ab2-a58b-21741d9d33af, 'FMuxYDLJ')->p_12, (7c5065e0-ad11-426b-97fc-2fc58687004a, 'gsOUGsLt')->p_12, (c98aed67-1d85-4425-a786-558e81b3a0f6, 'uBylqlmu')->p_8, (tauJoin_4, None)->p_4, (tauJoin_6, None)->p_4, (tauSplit_3, None)->p_5, (tauSplit_3, None)->p_7, (tauSplit_5, None)->p_11, (tauSplit_5, None)->p_9, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(tauJoin_6, None), p_11->(6e8d592f-c560-4ab2-a58b-21741d9d33af, 'FMuxYDLJ'), p_11->(7c5065e0-ad11-426b-97fc-2fc58687004a, 'gsOUGsLt'), p_12->(tauJoin_6, None), p_3->(tauSplit_3, None), p_3->(tauSplit_5, None), p_4->(tau_2, None), p_5->(2b758e57-54a1-431f-84b5-090cd18527cc, 'TDsLpQMP'), p_6->(tauJoin_4, None), p_7->(c98aed67-1d85-4425-a786-558e81b3a0f6, 'uBylqlmu'), p_8->(tauJoin_4, None), p_9->(0d265d02-2a42-472b-bb58-e85745dd84de, 'UaTGgCps'), p_9->(2a26c90f-1d59-47f3-9050-6cdf8bbe8658, 'OQpzgLUz'), p_9->(3e00561e-8139-4da3-938f-7e8a8bdd4794, 'lxExHbIP'), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/par/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run2_54,,0,0,1.0,0.0,False,,0.78,,,0.91,"places: [ p_10, p_11, p_12, p_13, p_14, p_5, p_6, p_8, p_9, sink, source ]
transitions: [ (4a829b81-cace-4148-8201-89a2003e4b42, 'qoMeBD'), (8189d637-0904-4af9-8ec3-82190c27cb92, 'hptfZf'), (95bf2c26-e7f3-4f36-ba65-1965a067559b, 'goMwkU'), (a570959f-1768-4545-8291-b41780508a2b, 'OrFBGJ'), (aea3d7ae-d71c-4c85-9ca7-141d920e0f06, 'YYlxfW'), (f3bb81d9-51c0-4f71-af37-51b35dd76957, 'dITBUT'), (f7bb761e-e61a-456c-959d-6b9f74048909, 'fzYiyu'), (tauJoin_4, None), (tauJoin_6, None), (tau_1, None) ]
arcs: [ (4a829b81-cace-4148-8201-89a2003e4b42, 'qoMeBD')->p_14, (8189d637-0904-4af9-8ec3-82190c27cb92, 'hptfZf')->p_8, (95bf2c26-e7f3-4f36-ba65-1965a067559b, 'goMwkU')->p_14, (a570959f-1768-4545-8291-b41780508a2b, 'OrFBGJ')->p_11, (aea3d7ae-d71c-4c85-9ca7-141d920e0f06, 'YYlxfW')->p_14, (f3bb81d9-51c0-4f71-af37-51b35dd76957, 'dITBUT')->p_6, (f7bb761e-e61a-456c-959d-6b9f74048909, 'fzYiyu')->p_13, (tauJoin_4, None)->sink, (tauJoin_6, None)->p_9, (tau_1, None)->p_10, (tau_1, None)->p_12, (tau_1, None)->p_5, p_10->(a570959f-1768-4545-8291-b41780508a2b, 'OrFBGJ'), p_11->(tauJoin_6, None), p_12->(f7bb761e-e61a-456c-959d-6b9f74048909, 'fzYiyu'), p_13->(tauJoin_6, None), p_14->(8189d637-0904-4af9-8ec3-82190c27cb92, 'hptfZf'), p_5->(f3bb81d9-51c0-4f71-af37-51b35dd76957, 'dITBUT'), p_6->(tauJoin_4, None), p_8->(tauJoin_4, None), p_9->(4a829b81-cace-4148-8201-89a2003e4b42, 'qoMeBD'), p_9->(95bf2c26-e7f3-4f36-ba65-1965a067559b, 'goMwkU'), p_9->(aea3d7ae-d71c-4c85-9ca7-141d920e0f06, 'YYlxfW'), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/par/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run2_54,,0,0,1.0,0.0,True,,0.82,,,0.85,"places: [ p_10, p_11, p_13, p_14, p_15, p_16, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (2d933f54-7305-499b-a90c-4d46daa4c38e, 'qoMeBD'), (3056ef50-9087-44c1-9672-0f9526b0e3d4, 'fzYiyu'), (323c799d-efa9-40d2-9aba-a6f485d6e768, 'dITBUT'), (7310d354-2c1b-480f-befd-aca4ed1d0a09, 'OrFBGJ'), (85e0af66-4a91-4305-869f-bf9518993655, 'goMwkU'), (a119c010-86f3-40e9-bef0-8aa59dadbd7c, 'YYlxfW'), (f0df4322-346a-4481-9dc8-396d90b57d71, 'hptfZf'), (tauJoin_4, None), (tauSplit_5, None), (tau_1, None) ]
arcs: [ (2d933f54-7305-499b-a90c-4d46daa4c38e, 'qoMeBD')->p_6, (3056ef50-9087-44c1-9672-0f9526b0e3d4, 'fzYiyu')->p_16, (323c799d-efa9-40d2-9aba-a6f485d6e768, 'dITBUT')->p_8, (7310d354-2c1b-480f-befd-aca4ed1d0a09, 'OrFBGJ')->p_14, (85e0af66-4a91-4305-869f-bf9518993655, 'goMwkU')->p_11, (a119c010-86f3-40e9-bef0-8aa59dadbd7c, 'YYlxfW')->p_11, (f0df4322-346a-4481-9dc8-396d90b57d71, 'hptfZf')->p_10, (tauJoin_4, None)->sink, (tauSplit_5, None)->p_13, (tauSplit_5, None)->p_15, (tau_1, None)->p_5, (tau_1, None)->p_7, (tau_1, None)->p_9, p_10->(tauJoin_4, None), p_11->(f0df4322-346a-4481-9dc8-396d90b57d71, 'hptfZf'), p_13->(7310d354-2c1b-480f-befd-aca4ed1d0a09, 'OrFBGJ'), p_14->(85e0af66-4a91-4305-869f-bf9518993655, 'goMwkU'), p_15->(3056ef50-9087-44c1-9672-0f9526b0e3d4, 'fzYiyu'), p_16->(85e0af66-4a91-4305-869f-bf9518993655, 'goMwkU'), p_5->(2d933f54-7305-499b-a90c-4d46daa4c38e, 'qoMeBD'), p_6->(tauJoin_4, None), p_7->(323c799d-efa9-40d2-9aba-a6f485d6e768, 'dITBUT'), p_8->(tauJoin_4, None), p_9->(a119c010-86f3-40e9-bef0-8aa59dadbd7c, 'YYlxfW'), p_9->(tauSplit_5, None), source->(tau_1, None) ]",['source:1'],['sink:1'],par
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/exc/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run3_96,,0,0,1.0,0.0,False,,0.93,,,1.0,"places: [ p_10, p_11, p_12, p_3, p_4, p_6, p_7, p_9, sink, source ]
transitions: [ (126acd03-a0e9-4260-95bc-3eb3dac6a28e, 'gIYChC'), (352f512d-11d8-441d-9a90-1d2efbd3af06, 'jeORTN'), (99aeea14-e0de-431e-b4dc-1593082ff8b9, 'KXuyjh'), (acc29ffb-51d1-405b-a398-31499de2523c, 'zLiKoe'), (f2482943-9202-46f9-a784-0082c159da5a, 'pVZcNP'), (f4d15e37-c61e-4c19-84ea-79728ff676b9, 'UHUugW'), (f63b7ab7-e4ae-49b6-a910-21f82f9e88c0, 'kzyBcE'), (skip_5, None), (tauJoin_7, None), (tauSplit_6, None), (tau_1, None), (tau_2, None) ]
arcs: [ (126acd03-a0e9-4260-95bc-3eb3dac6a28e, 'gIYChC')->p_6, (352f512d-11d8-441d-9a90-1d2efbd3af06, 'jeORTN')->p_7, (99aeea14-e0de-431e-b4dc-1593082ff8b9, 'KXuyjh')->p_12, (acc29ffb-51d1-405b-a398-31499de2523c, 'zLiKoe')->p_10, (f2482943-9202-46f9-a784-0082c159da5a, 'pVZcNP')->p_12, (f4d15e37-c61e-4c19-84ea-79728ff676b9, 'UHUugW')->p_12, (f63b7ab7-e4ae-49b6-a910-21f82f9e88c0, 'kzyBcE')->p_6, (skip_5, None)->p_4, (tauJoin_7, None)->p_4, (tauSplit_6, None)->p_11, (tauSplit_6, None)->p_9, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(tauJoin_7, None), p_11->(99aeea14-e0de-431e-b4dc-1593082ff8b9, 'KXuyjh'), p_11->(f2482943-9202-46f9-a784-0082c159da5a, 'pVZcNP'), p_11->(f4d15e37-c61e-4c19-84ea-79728ff676b9, 'UHUugW'), p_12->(tauJoin_7, None), p_3->(126acd03-a0e9-4260-95bc-3eb3dac6a28e, 'gIYChC'), p_3->(tauSplit_6, None), p_4->(tau_2, None), p_6->(352f512d-11d8-441d-9a90-1d2efbd3af06, 'jeORTN'), p_7->(f63b7ab7-e4ae-49b6-a910-21f82f9e88c0, 'kzyBcE'), p_7->(skip_5, None), p_9->(acc29ffb-51d1-405b-a398-31499de2523c, 'zLiKoe'), source->(tau_1, None) ]",['source:1'],['sink:1'],exc
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/exc/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run3_96,,0,0,1.0,0.0,True,,0.79,,,0.93,"places: [ p_10, p_11, p_12, p_13, p_3, p_4, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (077a8a6f-f236-4602-810f-bc3fe81f88bb, 'gIYChC'), (232d4e1c-c475-4d62-a268-b763dcb359bf, 'zLiKoe'), (383c69d6-3644-40f5-9d05-41037beb992e, 'kzyBcE'), (46cf5a1c-9fdf-46a3-936b-7a8cd5dcb36f, 'KXuyjh'), (5ec5bf3f-0ef3-427e-a8ab-162ab02efbb0, 'jeORTN'), (d7ffc46a-9f17-4aca-a6cf-268aa4bac10e, 'pVZcNP'), (fc3a67ab-2820-4568-8ca2-c98c49e5c7b2, 'UHUugW'), (tauJoin_4, None), (tauJoin_6, None), (tauSplit_5, None), (tau_1, None), (tau_2, None) ]
arcs: [ (077a8a6f-f236-4602-810f-bc3fe81f88bb, 'gIYChC')->p_6, (077a8a6f-f236-4602-810f-bc3fe81f88bb, 'gIYChC')->p_8, (232d4e1c-c475-4d62-a268-b763dcb359bf, 'zLiKoe')->p_11, (383c69d6-3644-40f5-9d05-41037beb992e, 'kzyBcE')->p_7, (46cf5a1c-9fdf-46a3-936b-7a8cd5dcb36f, 'KXuyjh')->p_13, (5ec5bf3f-0ef3-427e-a8ab-162ab02efbb0, 'jeORTN')->p_9, (d7ffc46a-9f17-4aca-a6cf-268aa4bac10e, 'pVZcNP')->p_13, (fc3a67ab-2820-4568-8ca2-c98c49e5c7b2, 'UHUugW')->p_13, (tauJoin_4, None)->p_4, (tauJoin_6, None)->p_4, (tauSplit_5, None)->p_10, (tauSplit_5, None)->p_12, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(232d4e1c-c475-4d62-a268-b763dcb359bf, 'zLiKoe'), p_11->(tauJoin_6, None), p_12->(46cf5a1c-9fdf-46a3-936b-7a8cd5dcb36f, 'KXuyjh'), p_12->(d7ffc46a-9f17-4aca-a6cf-268aa4bac10e, 'pVZcNP'), p_12->(fc3a67ab-2820-4568-8ca2-c98c49e5c7b2, 'UHUugW'), p_13->(tauJoin_6, None), p_3->(077a8a6f-f236-4602-810f-bc3fe81f88bb, 'gIYChC'), p_3->(tauSplit_5, None), p_4->(tau_2, None), p_6->(383c69d6-3644-40f5-9d05-41037beb992e, 'kzyBcE'), p_7->(tauJoin_4, None), p_8->(5ec5bf3f-0ef3-427e-a8ab-162ab02efbb0, 'jeORTN'), p_9->(tauJoin_4, None), source->(tau_1, None) ]",['source:1'],['sink:1'],exc
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/exc/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run3_91,,0,0,1.0,0.0,False,,1.0,,,1.0,"places: [ p_3, p_4, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (4da42a11-7fe3-4f5e-b07c-a95ca3c740ec, 'AREKqs'), (56df93bf-f4a4-423c-b1d9-779717ac042d, 'ZjdLah'), (6b994829-5172-4cab-b1d0-29a2d8240676, 'vSqbLA'), (6c4cc886-1d7f-4e9a-a6b6-f4bcd72123f0, 'GCSuqO'), (b6c88e1b-0309-4540-a9eb-b7b4ea0c053d, 'pRLjie'), (cf9a118d-a2ac-4143-8a5c-e45b857c9fac, 'wCkKKz'), (e76c469a-8b5f-4763-8651-782ecd57630c, 'MgvTag'), (init_loop_3, None), (skip_5, None), (tau_1, None), (tau_2, None) ]
arcs: [ (4da42a11-7fe3-4f5e-b07c-a95ca3c740ec, 'AREKqs')->p_8, (56df93bf-f4a4-423c-b1d9-779717ac042d, 'ZjdLah')->p_4, (6b994829-5172-4cab-b1d0-29a2d8240676, 'vSqbLA')->p_5, (6c4cc886-1d7f-4e9a-a6b6-f4bcd72123f0, 'GCSuqO')->p_6, (b6c88e1b-0309-4540-a9eb-b7b4ea0c053d, 'pRLjie')->p_4, (cf9a118d-a2ac-4143-8a5c-e45b857c9fac, 'wCkKKz')->p_4, (e76c469a-8b5f-4763-8651-782ecd57630c, 'MgvTag')->p_7, (init_loop_3, None)->p_7, (skip_5, None)->p_6, (tau_1, None)->p_3, (tau_2, None)->sink, p_3->(56df93bf-f4a4-423c-b1d9-779717ac042d, 'ZjdLah'), p_3->(6b994829-5172-4cab-b1d0-29a2d8240676, 'vSqbLA'), p_3->(6c4cc886-1d7f-4e9a-a6b6-f4bcd72123f0, 'GCSuqO'), p_3->(init_loop_3, None), p_4->(tau_2, None), p_5->(cf9a118d-a2ac-4143-8a5c-e45b857c9fac, 'wCkKKz'), p_6->(b6c88e1b-0309-4540-a9eb-b7b4ea0c053d, 'pRLjie'), p_7->(4da42a11-7fe3-4f5e-b07c-a95ca3c740ec, 'AREKqs'), p_8->(e76c469a-8b5f-4763-8651-782ecd57630c, 'MgvTag'), p_8->(skip_5, None), source->(tau_1, None) ]",['source:1'],['sink:1'],exc
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/exc/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run3_91,,0,0,1.0,0.0,True,,0.91,,,0.81,"places: [ p_10, p_3, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (3a62f12d-05eb-4745-ab28-478f7e1e7ccb, 'MgvTag'), (3a9fc77e-ff65-4b65-8a1f-d2118251c267, 'pRLjie'), (3d2e222c-1ccd-4905-8e64-a01168d04239, 'GCSuqO'), (464ff5c6-3b2f-49e4-a861-d3623a658d98, 'vSqbLA'), (c8b1e3c4-55ab-418f-a3b8-4e827d8b0d30, 'AREKqs'), (d462f56d-8fc3-44bc-a8ee-717ae29ef13f, 'wCkKKz'), (f1d27616-e037-4d35-a2e1-f71c589b98b1, 'ZjdLah'), (tauJoin_4, None), (tauSplit_3, None), (tau_1, None), (tau_2, None) ]
arcs: [ (3a62f12d-05eb-4745-ab28-478f7e1e7ccb, 'MgvTag')->p_8, (3a9fc77e-ff65-4b65-8a1f-d2118251c267, 'pRLjie')->p_4, (3d2e222c-1ccd-4905-8e64-a01168d04239, 'GCSuqO')->p_6, (464ff5c6-3b2f-49e4-a861-d3623a658d98, 'vSqbLA')->p_5, (c8b1e3c4-55ab-418f-a3b8-4e827d8b0d30, 'AREKqs')->p_10, (d462f56d-8fc3-44bc-a8ee-717ae29ef13f, 'wCkKKz')->p_4, (f1d27616-e037-4d35-a2e1-f71c589b98b1, 'ZjdLah')->p_4, (tauJoin_4, None)->p_6, (tauSplit_3, None)->p_7, (tauSplit_3, None)->p_9, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(tauJoin_4, None), p_3->(3d2e222c-1ccd-4905-8e64-a01168d04239, 'GCSuqO'), p_3->(464ff5c6-3b2f-49e4-a861-d3623a658d98, 'vSqbLA'), p_3->(f1d27616-e037-4d35-a2e1-f71c589b98b1, 'ZjdLah'), p_3->(tauSplit_3, None), p_4->(tau_2, None), p_5->(d462f56d-8fc3-44bc-a8ee-717ae29ef13f, 'wCkKKz'), p_6->(3a9fc77e-ff65-4b65-8a1f-d2118251c267, 'pRLjie'), p_7->(3a62f12d-05eb-4745-ab28-478f7e1e7ccb, 'MgvTag'), p_8->(tauJoin_4, None), p_9->(c8b1e3c4-55ab-418f-a3b8-4e827d8b0d30, 'AREKqs'), source->(tau_1, None) ]",['source:1'],['sink:1'],exc
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/exc/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run3_90,,0,0,1.0,0.0,False,,0.88,,,1.0,"places: [ p_10, p_3, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (2127c803-8def-4672-b3be-ae4c31b60a75, 'OTiGFx'), (5653f3b4-e1c8-46a7-a0dc-407e5a8730f7, 'ebnlXv'), (8292aae0-4104-40a5-8040-78f3597a5af8, 'ypfeUj'), (b7296008-cd58-48c0-b74d-293a372a7857, 'ivHMXy'), (d74da940-91ca-459c-a047-ac1b8383849d, 'MFpCli'), (dcaf9683-1073-47bc-a8e6-ec367f53df08, 'jIQiIf'), (e1c60bb2-6922-40fb-bfa5-9b97b1246525, 'BFzwJv'), (tauJoin_4, None), (tauSplit_3, None), (tau_1, None), (tau_2, None) ]
arcs: [ (2127c803-8def-4672-b3be-ae4c31b60a75, 'OTiGFx')->p_4, (5653f3b4-e1c8-46a7-a0dc-407e5a8730f7, 'ebnlXv')->p_4, (8292aae0-4104-40a5-8040-78f3597a5af8, 'ypfeUj')->p_6, (b7296008-cd58-48c0-b74d-293a372a7857, 'ivHMXy')->p_4, (d74da940-91ca-459c-a047-ac1b8383849d, 'MFpCli')->p_10, (dcaf9683-1073-47bc-a8e6-ec367f53df08, 'jIQiIf')->p_8, (e1c60bb2-6922-40fb-bfa5-9b97b1246525, 'BFzwJv')->p_9, (tauJoin_4, None)->p_4, (tauSplit_3, None)->p_5, (tauSplit_3, None)->p_7, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(2127c803-8def-4672-b3be-ae4c31b60a75, 'OTiGFx'), p_3->(5653f3b4-e1c8-46a7-a0dc-407e5a8730f7, 'ebnlXv'), p_3->(b7296008-cd58-48c0-b74d-293a372a7857, 'ivHMXy'), p_3->(e1c60bb2-6922-40fb-bfa5-9b97b1246525, 'BFzwJv'), p_3->(tauSplit_3, None), p_4->(tau_2, None), p_5->(8292aae0-4104-40a5-8040-78f3597a5af8, 'ypfeUj'), p_6->(tauJoin_4, None), p_7->(dcaf9683-1073-47bc-a8e6-ec367f53df08, 'jIQiIf'), p_8->(tauJoin_4, None), p_9->(d74da940-91ca-459c-a047-ac1b8383849d, 'MFpCli'), source->(tau_1, None) ]",['source:1'],['sink:1'],exc
IMbi_ali,/rwthfs/rz/cluster/work/xm454523/IMBI_Master/GNN_partitioning_single/GNN_Data/exc/Data_7/Sup_1.0/treeP_7_Sup_1.0_Data_run3_90,,0,0,1.0,0.0,True,,0.88,,,1.0,"places: [ p_10, p_3, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (271bfdd9-f465-49f7-ba58-02fae72ecaba, 'ivHMXy'), (33eda7fc-8731-43d1-8f47-b4e32c6bd07e, 'BFzwJv'), (6a0c53ac-8347-487c-a199-f2086e82c496, 'jIQiIf'), (6c7f7f4f-379d-4e0e-b56e-7ce883e782de, 'ypfeUj'), (872d5b81-2070-4d10-85fc-5b8efadfc947, 'ebnlXv'), (bbe6c401-58c4-422c-a5dd-9d4677526a8b, 'OTiGFx'), (dc0453d5-720a-4f36-81d6-be8e089752bf, 'MFpCli'), (tauJoin_4, None), (tauSplit_3, None), (tau_1, None), (tau_2, None) ]
arcs: [ (271bfdd9-f465-49f7-ba58-02fae72ecaba, 'ivHMXy')->p_4, (33eda7fc-8731-43d1-8f47-b4e32c6bd07e, 'BFzwJv')->p_9, (6a0c53ac-8347-487c-a199-f2086e82c496, 'jIQiIf')->p_8, (6c7f7f4f-379d-4e0e-b56e-7ce883e782de, 'ypfeUj')->p_6, (872d5b81-2070-4d10-85fc-5b8efadfc947, 'ebnlXv')->p_4, (bbe6c401-58c4-422c-a5dd-9d4677526a8b, 'OTiGFx')->p_4, (dc0453d5-720a-4f36-81d6-be8e089752bf, 'MFpCli')->p_10, (tauJoin_4, None)->p_4, (tauSplit_3, None)->p_5, (tauSplit_3, None)->p_7, (tau_1, None)->p_3, (tau_2, None)->sink, p_10->(bbe6c401-58c4-422c-a5dd-9d4677526a8b, 'OTiGFx'), p_3->(271bfdd9-f465-49f7-ba58-02fae72ecaba, 'ivHMXy'), p_3->(33eda7fc-8731-43d1-8f47-b4e32c6bd07e, 'BFzwJv'), p_3->(872d5b81-2070-4d10-85fc-5b8efadfc947, 'ebnlXv'), p_3->(tauSplit_3, None), p_4->(tau_2, None), p_5->(6c7f7f4f-379d-4e0e-b56e-7ce883e782de, 'ypfeUj'), p_6->(tauJoin_4, None), p_7->(6a0c53ac-8347-487c-a199-f2086e82c496, 'jIQiIf'), p_8->(tauJoin_4, None), p_9->(dc0453d5-720a-4f36-81d6-be8e089752bf, 'MFpCli'), source->(tau_1, None) ]",['source:1'],['sink:1'],exc
