,miner,logP_Name,logM_Name,imf_noise_thr,hm_depen_thr,im_bi_sup,im_bi_ratio,use_gnn,fit_tok,fit_alig,prec_tok,prec_alig,f1_tok,f1_alig,net,im,fm,acc_align,acc_trace,precP
0,IMbi_freq,2012_O_lp,2012_O_lm,0,0,0.2,1,False,,,,,,,"places: [ p_5, p_6, p_8, p_9, sink, source ]
transitions: [ (30d230eb-0949-4e62-a46e-c8373303c121, 'O_SENT'), (9fa5e5a0-ff6d-4678-8ed4-2bb0c2b03ce0, 'O_CREATED'), (c2f9be69-7fac-43e9-89e9-e5a1b3b78b27, 'O_DECLINED'), (c738c9cf-5b5b-454d-8146-d37f115585c0, 'O_SENT_BACK'), (cecedc7c-8a10-42c7-8c60-f8bb9c2d9429, 'O_CANCELLED'), (d891d365-cbec-45c2-9d62-1e3ca49217f9, 'O_SELECTED'), (f2679b91-1a8b-4b0c-bda5-331c1576434d, 'O_ACCEPTED'), (skip_5, None), (skip_6, None), (tau_1, None) ]
arcs: [ (30d230eb-0949-4e62-a46e-c8373303c121, 'O_SENT')->p_8, (9fa5e5a0-ff6d-4678-8ed4-2bb0c2b03ce0, 'O_CREATED')->p_6, (c2f9be69-7fac-43e9-89e9-e5a1b3b78b27, 'O_DECLINED')->sink, (c738c9cf-5b5b-454d-8146-d37f115585c0, 'O_SENT_BACK')->p_9, (cecedc7c-8a10-42c7-8c60-f8bb9c2d9429, 'O_CANCELLED')->p_5, (d891d365-cbec-45c2-9d62-1e3ca49217f9, 'O_SELECTED')->p_6, (f2679b91-1a8b-4b0c-bda5-331c1576434d, 'O_ACCEPTED')->sink, (skip_5, None)->p_9, (skip_6, None)->sink, (tau_1, None)->p_5, p_5->(9fa5e5a0-ff6d-4678-8ed4-2bb0c2b03ce0, 'O_CREATED'), p_5->(d891d365-cbec-45c2-9d62-1e3ca49217f9, 'O_SELECTED'), p_6->(30d230eb-0949-4e62-a46e-c8373303c121, 'O_SENT'), p_6->(cecedc7c-8a10-42c7-8c60-f8bb9c2d9429, 'O_CANCELLED'), p_8->(c738c9cf-5b5b-454d-8146-d37f115585c0, 'O_SENT_BACK'), p_8->(skip_5, None), p_9->(c2f9be69-7fac-43e9-89e9-e5a1b3b78b27, 'O_DECLINED'), p_9->(f2679b91-1a8b-4b0c-bda5-331c1576434d, 'O_ACCEPTED'), p_9->(skip_6, None), source->(tau_1, None) ]",['source:1'],['sink:1'],0.09,0.0,0.25
0,IMbi_rel,2012_O_lp,2012_O_lm,0,0,0.2,1,False,,,,,,,"places: [ p_3, p_4, p_5, p_6, p_7, sink, source ]
transitions: [ (1e59cea9-c8ac-4507-a16a-a94ff9f9bd42, 'O_ACCEPTED'), (2802babb-f6b8-45c8-84c8-2f037be9984a, 'O_CANCELLED'), (48b7d136-1c6f-4bde-895a-10fffef6666b, 'O_DECLINED'), (9503876a-a582-4e72-85c0-2a456d9d62bf, 'O_SELECTED'), (af2997d2-dd99-4871-9e02-28e2183bf7fc, 'O_SENT_BACK'), (f3ce0891-90a4-484b-9cfc-a5e4359f9cc4, 'O_SENT'), (f4c38ad1-8022-469d-bbf8-935684920814, 'O_CREATED'), (skip_1, None), (skip_2, None), (skip_3, None) ]
arcs: [ (1e59cea9-c8ac-4507-a16a-a94ff9f9bd42, 'O_ACCEPTED')->p_7, (2802babb-f6b8-45c8-84c8-2f037be9984a, 'O_CANCELLED')->sink, (48b7d136-1c6f-4bde-895a-10fffef6666b, 'O_DECLINED')->p_6, (9503876a-a582-4e72-85c0-2a456d9d62bf, 'O_SELECTED')->p_3, (af2997d2-dd99-4871-9e02-28e2183bf7fc, 'O_SENT_BACK')->sink, (f3ce0891-90a4-484b-9cfc-a5e4359f9cc4, 'O_SENT')->p_5, (f4c38ad1-8022-469d-bbf8-935684920814, 'O_CREATED')->p_4, (skip_1, None)->p_6, (skip_2, None)->p_7, (skip_3, None)->sink, p_3->(f4c38ad1-8022-469d-bbf8-935684920814, 'O_CREATED'), p_4->(f3ce0891-90a4-484b-9cfc-a5e4359f9cc4, 'O_SENT'), p_5->(48b7d136-1c6f-4bde-895a-10fffef6666b, 'O_DECLINED'), p_5->(skip_1, None), p_6->(1e59cea9-c8ac-4507-a16a-a94ff9f9bd42, 'O_ACCEPTED'), p_6->(skip_2, None), p_7->(2802babb-f6b8-45c8-84c8-2f037be9984a, 'O_CANCELLED'), p_7->(af2997d2-dd99-4871-9e02-28e2183bf7fc, 'O_SENT_BACK'), p_7->(skip_3, None), source->(9503876a-a582-4e72-85c0-2a456d9d62bf, 'O_SELECTED') ]",['source:1'],['sink:1'],0.08,-0.08,0.86
0,IMbi_aprox,2012_O_lp,2012_O_lm,0,0,0.2,1,False,,,,,,,"places: [ p_3, p_4, p_5, p_6, p_7, sink, source ]
transitions: [ (3b01bac7-038a-4e84-a01e-8b815cb2576b, 'O_SENT_BACK'), (50a8dc34-6129-4172-9a07-5bcea1dda8d3, 'O_CANCELLED'), (61ba7440-699c-4270-b947-364e21fd8d75, 'O_SENT'), (636464a5-84b9-4178-b75e-4749a3f33aad, 'O_ACCEPTED'), (9249ba55-3b7d-43c9-8e7a-182146e38747, 'O_DECLINED'), (db749ffa-9f91-4023-bc74-bdb729e212f6, 'O_SELECTED'), (dba97625-f20f-4231-a184-3e9c2eaf54ad, 'O_CREATED'), (skip_1, None), (skip_2, None), (skip_3, None) ]
arcs: [ (3b01bac7-038a-4e84-a01e-8b815cb2576b, 'O_SENT_BACK')->p_7, (50a8dc34-6129-4172-9a07-5bcea1dda8d3, 'O_CANCELLED')->p_6, (61ba7440-699c-4270-b947-364e21fd8d75, 'O_SENT')->p_5, (636464a5-84b9-4178-b75e-4749a3f33aad, 'O_ACCEPTED')->sink, (9249ba55-3b7d-43c9-8e7a-182146e38747, 'O_DECLINED')->sink, (db749ffa-9f91-4023-bc74-bdb729e212f6, 'O_SELECTED')->p_3, (dba97625-f20f-4231-a184-3e9c2eaf54ad, 'O_CREATED')->p_4, (skip_1, None)->p_6, (skip_2, None)->p_7, (skip_3, None)->sink, p_3->(dba97625-f20f-4231-a184-3e9c2eaf54ad, 'O_CREATED'), p_4->(61ba7440-699c-4270-b947-364e21fd8d75, 'O_SENT'), p_5->(50a8dc34-6129-4172-9a07-5bcea1dda8d3, 'O_CANCELLED'), p_5->(skip_1, None), p_6->(3b01bac7-038a-4e84-a01e-8b815cb2576b, 'O_SENT_BACK'), p_6->(skip_2, None), p_7->(636464a5-84b9-4178-b75e-4749a3f33aad, 'O_ACCEPTED'), p_7->(9249ba55-3b7d-43c9-8e7a-182146e38747, 'O_DECLINED'), p_7->(skip_3, None), source->(db749ffa-9f91-4023-bc74-bdb729e212f6, 'O_SELECTED') ]",['source:1'],['sink:1'],0.12,0.29,0.84
0,IMbi_freq,2017_O_lp,2017_O_lm,0,0,0.2,1,False,,,,,,,"places: [ p_10, p_11, p_12, p_17, p_18, p_20, p_21, p_22, p_23, p_26, p_27, p_28, p_29, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (50c97c6f-ccb0-477c-bf74-c6ec29788b17, 'O_Sent (mail and online)'), (6095b94e-a39b-4a77-94dd-6bc2a57e5580, 'O_Created'), (624c12bc-674e-44b3-b5fd-3045123a18b9, 'O_Returned'), (6b529d02-432e-4823-971e-fa3c967773a2, 'O_Create Offer'), (a093d180-08ed-4d9f-b303-23465ef01b5f, 'O_Cancelled'), (a82b8f2d-945d-45f2-b7fe-d22fc6e4bf0d, 'O_Sent (online only)'), (b636fb7d-895f-48e0-b2b8-d2a870462cb9, 'O_Accepted'), (c9cf78d2-60b4-4c87-a7b0-dc84f087102a, 'O_Refused'), (init_loop_19, None), (init_loop_4, None), (init_loop_7, None), (skip_10, None), (skip_11, None), (skip_16, None), (skip_18, None), (skip_21, None), (skip_22, None), (skip_23, None), (skip_6, None), (skip_9, None), (tauJoin_13, None), (tauSplit_12, None), (tau_1, None) ]
arcs: [ (50c97c6f-ccb0-477c-bf74-c6ec29788b17, 'O_Sent (mail and online)')->p_27, (6095b94e-a39b-4a77-94dd-6bc2a57e5580, 'O_Created')->p_11, (624c12bc-674e-44b3-b5fd-3045123a18b9, 'O_Returned')->p_29, (6b529d02-432e-4823-971e-fa3c967773a2, 'O_Create Offer')->p_12, (a093d180-08ed-4d9f-b303-23465ef01b5f, 'O_Cancelled')->p_18, (a82b8f2d-945d-45f2-b7fe-d22fc6e4bf0d, 'O_Sent (online only)')->p_8, (b636fb7d-895f-48e0-b2b8-d2a870462cb9, 'O_Accepted')->sink, (c9cf78d2-60b4-4c87-a7b0-dc84f087102a, 'O_Refused')->p_23, (init_loop_19, None)->p_22, (init_loop_4, None)->p_7, (init_loop_7, None)->p_10, (skip_10, None)->p_7, (skip_11, None)->p_6, (skip_16, None)->p_17, (skip_18, None)->p_21, (skip_21, None)->p_22, (skip_22, None)->p_21, (skip_23, None)->p_26, (skip_23, None)->p_28, (skip_6, None)->p_8, (skip_9, None)->p_10, (tauJoin_13, None)->p_5, (tauSplit_12, None)->p_17, (tauSplit_12, None)->p_20, (tau_1, None)->p_5, p_10->(6b529d02-432e-4823-971e-fa3c967773a2, 'O_Create Offer'), p_11->(skip_10, None), p_11->(skip_9, None), p_12->(6095b94e-a39b-4a77-94dd-6bc2a57e5580, 'O_Created'), p_17->(a093d180-08ed-4d9f-b303-23465ef01b5f, 'O_Cancelled'), p_18->(skip_16, None), p_18->(tauJoin_13, None), p_20->(init_loop_19, None), p_20->(skip_18, None), p_21->(tauJoin_13, None), p_22->(c9cf78d2-60b4-4c87-a7b0-dc84f087102a, 'O_Refused'), p_23->(skip_21, None), p_23->(skip_22, None), p_26->(50c97c6f-ccb0-477c-bf74-c6ec29788b17, 'O_Sent (mail and online)'), p_27->(b636fb7d-895f-48e0-b2b8-d2a870462cb9, 'O_Accepted'), p_28->(624c12bc-674e-44b3-b5fd-3045123a18b9, 'O_Returned'), p_29->(b636fb7d-895f-48e0-b2b8-d2a870462cb9, 'O_Accepted'), p_5->(init_loop_4, None), p_6->(skip_23, None), p_6->(tauSplit_12, None), p_7->(a82b8f2d-945d-45f2-b7fe-d22fc6e4bf0d, 'O_Sent (online only)'), p_7->(skip_6, None), p_8->(init_loop_7, None), p_8->(skip_11, None), source->(tau_1, None) ]",['source:1'],['sink:1'],0.19,0.34,0.53
0,IMbi_rel,2017_O_lp,2017_O_lm,0,0,0.2,1,False,,,,,,,"places: [ p_10, p_11, p_12, p_13, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (10c73fde-e185-4b02-980a-be4651872d59, 'O_Create Offer'), (192b76b3-5c8f-4f4f-91b3-c76f3d133063, 'O_Returned'), (43293552-264f-4cc8-ad06-1f12b9a9379e, 'O_Sent (online only)'), (7fbc10d7-925f-4905-a487-88f57a29016b, 'O_Accepted'), (b223efe6-a9d0-4704-ab62-22d7476a6efa, 'O_Sent (mail and online)'), (bad0335a-6c73-44ef-9903-11deecd5b46c, 'O_Cancelled'), (bc984d04-f036-467c-9292-2c40ccfd3431, 'O_Refused'), (f2679943-da28-4229-86ab-7a55a9aa1a32, 'O_Created'), (init_loop_4, None), (init_loop_7, None), (skip_10, None), (skip_11, None), (skip_12, None), (skip_13, None), (skip_14, None), (skip_15, None), (skip_6, None), (skip_9, None), (tau_1, None) ]
arcs: [ (10c73fde-e185-4b02-980a-be4651872d59, 'O_Create Offer')->p_12, (192b76b3-5c8f-4f4f-91b3-c76f3d133063, 'O_Returned')->p_7, (43293552-264f-4cc8-ad06-1f12b9a9379e, 'O_Sent (online only)')->sink, (7fbc10d7-925f-4905-a487-88f57a29016b, 'O_Accepted')->p_13, (b223efe6-a9d0-4704-ab62-22d7476a6efa, 'O_Sent (mail and online)')->p_10, (bad0335a-6c73-44ef-9903-11deecd5b46c, 'O_Cancelled')->p_5, (bc984d04-f036-467c-9292-2c40ccfd3431, 'O_Refused')->p_9, (f2679943-da28-4229-86ab-7a55a9aa1a32, 'O_Created')->p_11, (init_loop_4, None)->p_7, (init_loop_7, None)->p_10, (skip_10, None)->p_13, (skip_11, None)->p_11, (skip_12, None)->p_8, (skip_13, None)->p_6, (skip_14, None)->p_4, (skip_15, None)->sink, (skip_6, None)->p_9, (skip_9, None)->p_12, (tau_1, None)->p_5, p_10->(10c73fde-e185-4b02-980a-be4651872d59, 'O_Create Offer'), p_10->(skip_9, None), p_11->(b223efe6-a9d0-4704-ab62-22d7476a6efa, 'O_Sent (mail and online)'), p_11->(skip_12, None), p_12->(7fbc10d7-925f-4905-a487-88f57a29016b, 'O_Accepted'), p_12->(skip_10, None), p_13->(f2679943-da28-4229-86ab-7a55a9aa1a32, 'O_Created'), p_13->(skip_11, None), p_4->(43293552-264f-4cc8-ad06-1f12b9a9379e, 'O_Sent (online only)'), p_4->(skip_15, None), p_5->(init_loop_4, None), p_6->(bad0335a-6c73-44ef-9903-11deecd5b46c, 'O_Cancelled'), p_6->(skip_14, None), p_7->(bc984d04-f036-467c-9292-2c40ccfd3431, 'O_Refused'), p_7->(skip_6, None), p_8->(192b76b3-5c8f-4f4f-91b3-c76f3d133063, 'O_Returned'), p_8->(skip_13, None), p_9->(init_loop_7, None), source->(tau_1, None) ]",['source:1'],['sink:1'],-0.0,-0.04,0.36
0,IMbi_aprox,2017_O_lp,2017_O_lm,0,0,0.2,1,False,,,,,,,"places: [ p_10, p_11, p_12, p_14, p_4, p_5, p_6, p_7, p_8, p_9, sink, source ]
transitions: [ (1a5fbdb2-71bc-4f66-8f12-9bf42690d185, 'O_Returned'), (4f304127-d1fe-48af-968a-6086bb0dcb0a, 'O_Cancelled'), (51a8749b-f6c7-4d5f-a8cb-e1e0a78a08fb, 'O_Refused'), (51c785de-ab18-44d4-a59b-10497a7124ab, 'O_Create Offer'), (61eee142-22d7-4e5a-9703-e4ace9a96073, 'O_Sent (online only)'), (78e83aee-018c-477f-a00d-45c34408c6a7, 'O_Sent (mail and online)'), (7aa7e39f-246b-4f71-8faf-cd3125610cbb, 'O_Accepted'), (fdcdd084-07e7-4510-83fb-204477e3332d, 'O_Created'), (skip_10, None), (skip_11, None), (skip_4, None), (skip_5, None), (skip_8, None), (skip_9, None), (tauJoin_7, None), (tauSplit_6, None), (tau_1, None) ]
arcs: [ (1a5fbdb2-71bc-4f66-8f12-9bf42690d185, 'O_Returned')->p_5, (4f304127-d1fe-48af-968a-6086bb0dcb0a, 'O_Cancelled')->p_14, (51a8749b-f6c7-4d5f-a8cb-e1e0a78a08fb, 'O_Refused')->p_12, (51c785de-ab18-44d4-a59b-10497a7124ab, 'O_Create Offer')->p_10, (61eee142-22d7-4e5a-9703-e4ace9a96073, 'O_Sent (online only)')->sink, (78e83aee-018c-477f-a00d-45c34408c6a7, 'O_Sent (mail and online)')->p_8, (7aa7e39f-246b-4f71-8faf-cd3125610cbb, 'O_Accepted')->p_6, (fdcdd084-07e7-4510-83fb-204477e3332d, 'O_Created')->p_12, (skip_10, None)->p_14, (skip_11, None)->sink, (skip_4, None)->p_7, (skip_5, None)->p_8, (skip_8, None)->p_6, (skip_9, None)->p_4, (tauJoin_7, None)->p_7, (tauSplit_6, None)->p_11, (tauSplit_6, None)->p_9, (tau_1, None)->p_5, p_10->(tauJoin_7, None), p_11->(51a8749b-f6c7-4d5f-a8cb-e1e0a78a08fb, 'O_Refused'), p_11->(fdcdd084-07e7-4510-83fb-204477e3332d, 'O_Created'), p_12->(tauJoin_7, None), p_14->(61eee142-22d7-4e5a-9703-e4ace9a96073, 'O_Sent (online only)'), p_14->(skip_11, None), p_4->(4f304127-d1fe-48af-968a-6086bb0dcb0a, 'O_Cancelled'), p_4->(skip_10, None), p_5->(78e83aee-018c-477f-a00d-45c34408c6a7, 'O_Sent (mail and online)'), p_5->(skip_4, None), p_5->(skip_5, None), p_6->(1a5fbdb2-71bc-4f66-8f12-9bf42690d185, 'O_Returned'), p_6->(skip_9, None), p_7->(7aa7e39f-246b-4f71-8faf-cd3125610cbb, 'O_Accepted'), p_7->(skip_8, None), p_8->(tauSplit_6, None), p_9->(51c785de-ab18-44d4-a59b-10497a7124ab, 'O_Create Offer'), source->(tau_1, None) ]",['source:1'],['sink:1'],0.04,-0.01,0.29
0,IMbi_freq,2012_O_lp,2012_O_lm,0,0,0.3,1,False,,,,,,,"places: [ p_5, p_6, p_8, p_9, sink, source ]
transitions: [ (45d70e51-a13a-492e-9212-d087781c715d, 'O_ACCEPTED'), (53a08163-d0d7-48ec-9df9-fa9f2b5fbeb7, 'O_SELECTED'), (76843f5e-a020-476b-8335-8ba4af83651c, 'O_CREATED'), (9b4887e0-3bdd-4804-a068-a6264be0acf9, 'O_SENT'), (d38dcb1f-1326-42ed-81ae-9e5342268c6a, 'O_CANCELLED'), (fdacd446-aa10-4339-8e71-c5de5d892457, 'O_DECLINED'), (fde57bee-bd9d-4794-8299-16e094906f36, 'O_SENT_BACK'), (skip_5, None), (skip_6, None), (tau_1, None) ]
arcs: [ (45d70e51-a13a-492e-9212-d087781c715d, 'O_ACCEPTED')->sink, (53a08163-d0d7-48ec-9df9-fa9f2b5fbeb7, 'O_SELECTED')->p_6, (76843f5e-a020-476b-8335-8ba4af83651c, 'O_CREATED')->p_6, (9b4887e0-3bdd-4804-a068-a6264be0acf9, 'O_SENT')->p_8, (d38dcb1f-1326-42ed-81ae-9e5342268c6a, 'O_CANCELLED')->p_5, (fdacd446-aa10-4339-8e71-c5de5d892457, 'O_DECLINED')->sink, (fde57bee-bd9d-4794-8299-16e094906f36, 'O_SENT_BACK')->p_9, (skip_5, None)->p_9, (skip_6, None)->sink, (tau_1, None)->p_5, p_5->(53a08163-d0d7-48ec-9df9-fa9f2b5fbeb7, 'O_SELECTED'), p_5->(76843f5e-a020-476b-8335-8ba4af83651c, 'O_CREATED'), p_6->(9b4887e0-3bdd-4804-a068-a6264be0acf9, 'O_SENT'), p_6->(d38dcb1f-1326-42ed-81ae-9e5342268c6a, 'O_CANCELLED'), p_8->(fde57bee-bd9d-4794-8299-16e094906f36, 'O_SENT_BACK'), p_8->(skip_5, None), p_9->(45d70e51-a13a-492e-9212-d087781c715d, 'O_ACCEPTED'), p_9->(fdacd446-aa10-4339-8e71-c5de5d892457, 'O_DECLINED'), p_9->(skip_6, None), source->(tau_1, None) ]",['source:1'],['sink:1'],0.09,0.0,0.25
0,IMbi_rel,2012_O_lp,2012_O_lm,0,0,0.3,1,False,,,,,,,"places: [ p_3, p_4, p_5, p_6, p_7, sink, source ]
transitions: [ (08dd5342-8219-4dc3-97d9-8f66f9f72ba4, 'O_SELECTED'), (2e18e297-c055-4dae-8a2d-1537217d7cdf, 'O_DECLINED'), (34767a48-d629-44fc-9e8c-ea870e771b59, 'O_CREATED'), (42d43524-5f61-44da-b134-64dca132f3f7, 'O_ACCEPTED'), (90cfe06c-fe13-4d86-b9a1-11787521a72b, 'O_SENT_BACK'), (df088844-3b61-4268-bfcf-78d6cc40cec8, 'O_SENT'), (f3adb2ac-434b-4f4c-ae49-f12c0bd077f5, 'O_CANCELLED'), (skip_1, None), (skip_2, None), (skip_3, None) ]
arcs: [ (08dd5342-8219-4dc3-97d9-8f66f9f72ba4, 'O_SELECTED')->p_3, (2e18e297-c055-4dae-8a2d-1537217d7cdf, 'O_DECLINED')->p_6, (34767a48-d629-44fc-9e8c-ea870e771b59, 'O_CREATED')->p_4, (42d43524-5f61-44da-b134-64dca132f3f7, 'O_ACCEPTED')->p_7, (90cfe06c-fe13-4d86-b9a1-11787521a72b, 'O_SENT_BACK')->sink, (df088844-3b61-4268-bfcf-78d6cc40cec8, 'O_SENT')->p_5, (f3adb2ac-434b-4f4c-ae49-f12c0bd077f5, 'O_CANCELLED')->sink, (skip_1, None)->p_6, (skip_2, None)->p_7, (skip_3, None)->sink, p_3->(34767a48-d629-44fc-9e8c-ea870e771b59, 'O_CREATED'), p_4->(df088844-3b61-4268-bfcf-78d6cc40cec8, 'O_SENT'), p_5->(2e18e297-c055-4dae-8a2d-1537217d7cdf, 'O_DECLINED'), p_5->(skip_1, None), p_6->(42d43524-5f61-44da-b134-64dca132f3f7, 'O_ACCEPTED'), p_6->(skip_2, None), p_7->(90cfe06c-fe13-4d86-b9a1-11787521a72b, 'O_SENT_BACK'), p_7->(f3adb2ac-434b-4f4c-ae49-f12c0bd077f5, 'O_CANCELLED'), p_7->(skip_3, None), source->(08dd5342-8219-4dc3-97d9-8f66f9f72ba4, 'O_SELECTED') ]",['source:1'],['sink:1'],0.08,-0.08,0.86
0,IMbi_aprox,2012_O_lp,2012_O_lm,0,0,0.3,1,False,,,,,,,"places: [ p_3, p_4, p_5, p_6, p_7, sink, source ]
transitions: [ (2871cfb4-e38a-4431-8f07-51860fe80886, 'O_SENT_BACK'), (2a583553-a3de-49e3-baa3-6f6e81be614d, 'O_ACCEPTED'), (9e094f41-3891-422d-8596-99f98e828761, 'O_CREATED'), (b1f7e5f9-ac36-4c82-80e9-2b71e6fa1a94, 'O_SENT'), (c1999f0d-31aa-49a4-8381-30584d01db79, 'O_SELECTED'), (c46194e2-d676-4274-9cbf-0850e56a40d8, 'O_DECLINED'), (e4bc06a4-fee4-4cbe-953a-a5da9506f603, 'O_CANCELLED'), (skip_1, None), (skip_2, None), (skip_3, None) ]
arcs: [ (2871cfb4-e38a-4431-8f07-51860fe80886, 'O_SENT_BACK')->p_7, (2a583553-a3de-49e3-baa3-6f6e81be614d, 'O_ACCEPTED')->sink, (9e094f41-3891-422d-8596-99f98e828761, 'O_CREATED')->p_4, (b1f7e5f9-ac36-4c82-80e9-2b71e6fa1a94, 'O_SENT')->p_5, (c1999f0d-31aa-49a4-8381-30584d01db79, 'O_SELECTED')->p_3, (c46194e2-d676-4274-9cbf-0850e56a40d8, 'O_DECLINED')->sink, (e4bc06a4-fee4-4cbe-953a-a5da9506f603, 'O_CANCELLED')->p_6, (skip_1, None)->p_6, (skip_2, None)->p_7, (skip_3, None)->sink, p_3->(9e094f41-3891-422d-8596-99f98e828761, 'O_CREATED'), p_4->(b1f7e5f9-ac36-4c82-80e9-2b71e6fa1a94, 'O_SENT'), p_5->(e4bc06a4-fee4-4cbe-953a-a5da9506f603, 'O_CANCELLED'), p_5->(skip_1, None), p_6->(2871cfb4-e38a-4431-8f07-51860fe80886, 'O_SENT_BACK'), p_6->(skip_2, None), p_7->(2a583553-a3de-49e3-baa3-6f6e81be614d, 'O_ACCEPTED'), p_7->(c46194e2-d676-4274-9cbf-0850e56a40d8, 'O_DECLINED'), p_7->(skip_3, None), source->(c1999f0d-31aa-49a4-8381-30584d01db79, 'O_SELECTED') ]",['source:1'],['sink:1'],0.12,0.29,0.84
0,IMbi_freq,2017_O_lp,2017_O_lm,0,0,0.3,1,False,,,,,,,"places: [ p_10, p_11, p_12, p_15, p_16, p_17, p_18, p_19, p_20, p_23, p_24, p_25, p_26, p_5, p_6, p_7, p_8, sink, source ]
transitions: [ (0559d5e7-22c9-4153-98b3-051853422395, 'O_Refused'), (3bd32e8d-3b52-4ffe-ba1f-f31a2ce1bc21, 'O_Created'), (70dcaafd-36ca-42b9-b6d1-248708124af1, 'O_Sent (online only)'), (7996931d-90d4-4cc4-8297-2d0c58106e3c, 'O_Accepted'), (851648c1-1ab7-40c3-9c8f-19ced4ffc8db, 'O_Cancelled'), (ad9da543-5414-4fd2-822b-7c51037bda26, 'O_Sent (mail and online)'), (db3ec6f8-cd49-4f8d-9c88-f2d59c267e0b, 'O_Returned'), (dc4948ce-9a86-4f5c-b939-b8f17a8ffa31, 'O_Create Offer'), (init_loop_15, None), (init_loop_4, None), (init_loop_7, None), (skip_10, None), (skip_11, None), (skip_14, None), (skip_17, None), (skip_18, None), (skip_19, None), (skip_6, None), (skip_9, None), (tauJoin_13, None), (tauSplit_12, None), (tau_1, None) ]
arcs: [ (0559d5e7-22c9-4153-98b3-051853422395, 'O_Refused')->p_20, (3bd32e8d-3b52-4ffe-ba1f-f31a2ce1bc21, 'O_Created')->p_11, (70dcaafd-36ca-42b9-b6d1-248708124af1, 'O_Sent (online only)')->p_8, (7996931d-90d4-4cc4-8297-2d0c58106e3c, 'O_Accepted')->sink, (851648c1-1ab7-40c3-9c8f-19ced4ffc8db, 'O_Cancelled')->p_16, (ad9da543-5414-4fd2-822b-7c51037bda26, 'O_Sent (mail and online)')->p_24, (db3ec6f8-cd49-4f8d-9c88-f2d59c267e0b, 'O_Returned')->p_26, (dc4948ce-9a86-4f5c-b939-b8f17a8ffa31, 'O_Create Offer')->p_12, (init_loop_15, None)->p_19, (init_loop_4, None)->p_7, (init_loop_7, None)->p_10, (skip_10, None)->p_7, (skip_11, None)->p_6, (skip_14, None)->p_18, (skip_17, None)->p_19, (skip_18, None)->p_18, (skip_19, None)->p_23, (skip_19, None)->p_25, (skip_6, None)->p_8, (skip_9, None)->p_10, (tauJoin_13, None)->p_5, (tauSplit_12, None)->p_15, (tauSplit_12, None)->p_17, (tau_1, None)->p_5, p_10->(dc4948ce-9a86-4f5c-b939-b8f17a8ffa31, 'O_Create Offer'), p_11->(skip_10, None), p_11->(skip_9, None), p_12->(3bd32e8d-3b52-4ffe-ba1f-f31a2ce1bc21, 'O_Created'), p_15->(851648c1-1ab7-40c3-9c8f-19ced4ffc8db, 'O_Cancelled'), p_16->(tauJoin_13, None), p_17->(init_loop_15, None), p_17->(skip_14, None), p_18->(tauJoin_13, None), p_19->(0559d5e7-22c9-4153-98b3-051853422395, 'O_Refused'), p_20->(skip_17, None), p_20->(skip_18, None), p_23->(ad9da543-5414-4fd2-822b-7c51037bda26, 'O_Sent (mail and online)'), p_24->(7996931d-90d4-4cc4-8297-2d0c58106e3c, 'O_Accepted'), p_25->(db3ec6f8-cd49-4f8d-9c88-f2d59c267e0b, 'O_Returned'), p_26->(7996931d-90d4-4cc4-8297-2d0c58106e3c, 'O_Accepted'), p_5->(init_loop_4, None), p_6->(skip_19, None), p_6->(tauSplit_12, None), p_7->(70dcaafd-36ca-42b9-b6d1-248708124af1, 'O_Sent (online only)'), p_7->(skip_6, None), p_8->(init_loop_7, None), p_8->(skip_11, None), source->(tau_1, None) ]",['source:1'],['sink:1'],0.19,0.34,0.53
